,var,score
0,lep_vz_2,0.34
1,lep_vz_0,0.34
2,lep_vz_1,0.28
3,m_vxp_x,0.02
4,m_vxp_y,0.02
5,lep_ClosestSiTrackeIL_2,0.0
6,lep_ClosestSiTrackeIL_3,0.0
7,lep_ClosestSiTrackeIL_1,0.0
8,lep_ClosestSiTracknNIL_0,0.0
9,lep_ClosestSiTrackeNIL_0,0.0
10,lep_ClosestSiTrackeNIL_1,0.0
11,lep_ClosestSiTrackeNIL_2,0.0
12,lep_ClosestSiTrackeNIL_3,0.0
13,lep_ClosestSiTracknIL_0,0.0
14,lep_ClosestSiTracknIL_1,0.0
15,lep_ClosestSiTracknIL_2,0.0
16,lep_ClosestSiTracknIL_3,0.0
17,lep_ClosestSiTracknNIL_3,0.0
18,lep_ClosestSiTracknNIL_1,0.0
19,lep_ClosestSiTracknNIL_2,0.0
