,var,score
0,m_vxp_y,0.8850777746546727
1,m_vxp_x,0.10414576385701443
2,lep_vz_1,0.010776461488312808
3,trilep_type,0.0
4,lep_ClosestSiTracknNIL_1,0.0
5,lep_ClosestSiTrackeIL_2,0.0
6,lep_ClosestSiTrackeIL_3,0.0
7,lep_ClosestSiTrackeNIL_0,0.0
8,lep_ClosestSiTrackeNIL_1,0.0
9,lep_ClosestSiTrackeNIL_2,0.0
10,lep_ClosestSiTrackeNIL_3,0.0
11,lep_ClosestSiTracknIL_0,0.0
12,lep_ClosestSiTracknIL_1,0.0
13,lep_ClosestSiTracknIL_2,0.0
14,lep_ClosestSiTracknIL_3,0.0
15,lep_ClosestSiTracknNIL_0,0.0
16,lep_ClosestSiTracknNIL_3,0.0
17,lep_ClosestSiTracknNIL_2,0.0
18,lep_ClosestSiTrackeIL_0,0.0
19,lep_E_0,0.0
