,var,score
0,lep_vz_0,0.21296109077522085
1,m_vxp_y,0.20167157643903713
2,lep_vz_1,0.18935304393792035
3,lep_vz_2,0.17976007344415454
4,m_vxp_x,0.058009227071663026
5,mOSl_h,0.015244801070645618
6,DEtall02,0.0017636396342766488
7,lep_deltaz0_2,0.001703533917650039
8,DEtall12,0.0015797247346425005
9,DRjb,0.0015547171410138583
10,SDRll,0.0015318966336281361
11,averageIntPerXing_uncorr,0.0013625140195639585
12,lead_jetPhi,0.0013193421275058523
13,actualIntPerXing,0.0013172851113015624
14,DeltaRLeadjets,0.0012924944495766573
15,lep_sigd0PV_0,0.0012704901126294036
16,lep_Z0SinTheta_1,0.001228596127425652
17,lep_promptLeptonIso_TagWeight_2,0.0011649439835356593
18,max_eta,0.001135449670514553
19,lep_BestMatchTrackD0_2,0.0011350912517020778
